PERMNO,date,TICKER,COMNAM,PRC,VOL,RET,SHROUT
61241,2024-11-20,AMD,ADVANCED MICRO DEVICES INC,137.60001,28716732,-0.012842,1622807
61241,2024-11-21,AMD,ADVANCED MICRO DEVICES INC,137.49001,29181563,-0.000799,1622807
61241,2024-11-22,AMD,ADVANCED MICRO DEVICES INC,138.35001,21716064,0.006255,1622807
61241,2024-11-25,AMD,ADVANCED MICRO DEVICES INC,141.13000,30801725,0.020094,1622807
61241,2024-11-26,AMD,ADVANCED MICRO DEVICES INC,137.72000,31933667,-0.024162,1622807
61241,2024-11-27,AMD,ADVANCED MICRO DEVICES INC,136.24001,30079653,-0.010746,1622807
61241,2024-11-29,AMD,ADVANCED MICRO DEVICES INC,137.17500,16032731,0.006863,1622807
61241,2024-12-02,AMD,ADVANCED MICRO DEVICES INC,142.06000,32877032,0.035611,1622807
61241,2024-12-03,AMD,ADVANCED MICRO DEVICES INC,141.98000,22571807,-0.000563,1622807
61241,2024-12-04,AMD,ADVANCED MICRO DEVICES INC,143.99001,25843613,0.014157,1622807
61241,2024-12-05,AMD,ADVANCED MICRO DEVICES INC,141.36000,29707942,-0.018265,1622807
61241,2024-12-06,AMD,ADVANCED MICRO DEVICES INC,138.59000,33448778,-0.019595,1622807
61241,2024-12-09,AMD,ADVANCED MICRO DEVICES INC,130.87000,56686364,-0.055704,1622807
61241,2024-12-10,AMD,ADVANCED MICRO DEVICES INC,127.74000,38757927,-0.023917,1622807
61241,2024-12-11,AMD,ADVANCED MICRO DEVICES INC,130.14999,45426969,0.018866,1622807
61241,2024-12-12,AMD,ADVANCED MICRO DEVICES INC,130.60001,34152969,0.003458,1622807
